Epoch,Loss,Accuracy,Precision,Recall,AUC,Val_Loss,Val_Accuracy,Val_Precision,Val_Recall,Val_AUC
1,0.1063,0.9575,0.9143,0.8552,0.987,0.0581,0.9782,0.9863,0.8977,0.996
2,0.0274,0.9899,0.9757,0.9705,0.9987,0.0202,0.9928,0.9771,0.9853,0.9991
3,0.0151,0.9946,0.9866,0.9849,0.9993,0.0131,0.9954,0.9837,0.992,0.9996
4,0.0107,0.9963,0.9907,0.9899,0.9995,0.0129,0.9957,0.9964,0.9808,0.999
5,0.0084,0.9972,0.9928,0.9923,0.9996,0.0088,0.9972,0.9923,0.9928,0.9995
6,0.007,0.9977,0.9941,0.9938,0.9997,0.0079,0.9975,0.9913,0.9957,0.9997
7,0.0061,0.998,0.9949,0.9947,0.9997,0.0045,0.9986,0.9962,0.9964,0.9998
8,0.0054,0.9982,0.9955,0.9952,0.9997,0.0041,0.9987,0.9964,0.9969,0.9998
9,0.0049,0.9984,0.9959,0.9959,0.9997,0.0064,0.998,0.9986,0.9911,0.9995
10,0.0045,0.9986,0.9962,0.9962,0.9998,0.0045,0.9986,0.9959,0.9968,0.9998
11,0.0042,0.9987,0.9966,0.9965,0.9998,0.0044,0.9987,0.9974,0.9956,0.9998
